Origin,Destination,Airline,oLong,oLat,dLong,dLat
JFK,LGW,Norwegian Air,-73.77890015,40.63980103,-0.190277993679047,51.1481018066406
LHR,SIN,Singapore Airlines,-0.461941,51.4706,103.994003,1.35019
SIN,HKG,Singapore Airlines,103.994003,1.35019,113.915000916,22.3089008331
HKG,AKL,Cathay Pacific,113.915000916,22.3089008331,174.792007446,-37.0080986023
AKL,ZQN,Air New Zealand,174.792007446,-37.0080986023,168.738998413,-45.0210990906
ZQN,AKL,Air New Zealand,168.738998413,-45.0210990906,174.792007446,-37.0080986023
AKL,PPT,Air New Zealand,174.792007446,-37.0080986023,-149.606994629,-17.5536994934
PPT,BOB,Air Tahiti,-149.606994629,-17.5536994934,-151.751007080078,-16.4444007873535
BOB,MOZ,Air Tahiti,-151.751007080078,-16.4444007873535,-149.761993408203,-17.4899997711182
MOZ,PPT,Terevau,-149.761993408203,-17.4899997711182,-149.606994629,-17.5536994934
PPT,LAX,Air Tahiti Nui,-149.606994629,-17.5536994934,-118.4079971,33.94250107
LAX,SJC,Alaska Airlines,-118.4079971,33.94250107,-121.929000854492,37.3625984191895
SFO,JFK,JetBlue,-122.375,37.6189994812012,-73.77890015,40.63980103
